Título,Texto,Upvotes,Comentarios,Sentimiento,Puntaje Sentimiento
"El día de hoy pasará a la historia como el momento en que un impresentable, con su mono de feria, le hicieron una encerrona a un presidente que lucha contra la mayor amenaza que asola Europa...",,1513,512,Neutral,0.0
"Asi despide en redes sociales el hermano del delincuente menor de edad que fue baleado por un Policía de la Ciudad en Isidro Casanova el dia de ayer cuando 3 delincuentes intentaron robarle la moto.
¿Cómo llegamos a esto loco?",,1311,735,Neutral,0.0
Por primera vez en la historia manifestantes irrumpen en el piso del Senado de México,,3037,443,Neutral,0.0
Respuesta de Claudia Sheinbaum a Donald Trump por el tema de los aranceles,,1398,422,Neutral,0.0
"Activista extranjero causa destrozos e intimida a empleada en una cafetería de Mérida, molesto por el volumen de la música en el local.",,1337,355,Neutral,0.0
¿Por qué no aceptan el racismo de Tolkien?,"El tema del racismo en Tolkien es algo que, por alguna razón, llega a molestar a la mayoría de sus fans de Tolkien.

Siempre te van a sacar miles de excusas, como la historia (de dudosa credibilidad) de la carta que Tolkien envió a una editorial alemana o que es ""un anglo con piensamientos de su época"" (cosa es literalmente un racista)

Vamos, hasta los fans de Harry Potter aceptan que JK Rowling es tránsfoba y racista. ",1172,408,Positivo,0.1111
"El día de hoy pasará a la historia como el momento en que un impresentable, con su mono de feria, le hicieron una encerrona a un presidente que lucha contra la mayor amenaza que asola Europa...",,967,558,Neutral,0.0
"Se ve a migrantes en el lado mexicano del cruce fronterizo de Ciudad Juárez llorando, luego de que se les acaba de notificar que el “CBP One” creado por la Administración Biden para programar citas y audiencias, ha recibido la orden de cerrar de inmediato; y todas las citas programadas canceladas. ",,1200,514,Positivo,0.34
Si no fuera por las mujeres los hombres vivirían así hasta el fin de los tiempos. ,,1490,280,Negativo,-0.296
¿Por que mucha gente trabajadora en Mexico se considera que se ve de menos cuando le recomiendas usar equipo de seguridad? ¿Por que somos tan acomplejados?,"Eso creía yo antes, pero maduras y te das cuenta que no existe nada importante más que cuidarse a uno mismo",1735,488,Negativo,-0.3736
