,texto,sentimiento
0,¡Me encanta este nuevo producto!,0.0
1,Este servicio es horrible.,-0.5423
2,No estoy seguro de cómo me siento al respecto.,-0.296
3,¡Qué día tan maravilloso!,0.0
4,Estoy muy decepcionado.,0.0
5,Es una situación complicada.,0.0
6,¡Absolutamente increíble!,0.0
7,No puedo creer lo malo que es.,-0.296
8,Es lo que es.,0.0
9,I love this new product!,0.6696
10,This service is awful.,-0.4588
11,I'm not sure how I feel about it.,-0.2411
12,What a wonderful day!,0.6114
13,I'm very disappointed.,-0.5256
14,It's a complicated situation.,0.0
15,Absolutely amazing!,0.6581
16,I can't believe how bad it is.,0.431
17,It is what it is.,0.0
